Type,Name,Longitude,Latitude
Restaurants,Le Saint Jacques,12.5779306,55.7034223
Restaurants,Sushi Nørregade,12.5712029,55.6818262
Restaurants,Sticks'N'Sushi,12.5647608,55.6841991
Restaurants,Cafe Munk,12.5673006,55.6843897
Restaurants,Restaurant Koefoed,12.5854059,55.6829182
Restaurants,Cantina,12.5841755,55.6823201
Restaurants,Allegade 10,12.5332170,55.6760001
Restaurants,Kreta III,12.4838727,55.6919588
Restaurants,Chaophraya,12.5071737,55.6931331
Restaurants,Sticks'N'Sushi Valby,12.5137650,55.6658044
Restaurants,Kebabish,12.5604195,55.6731288
Restaurants,Den Lille Fede,12.5856599,55.6821848
Restaurants,Restaurant Vita,12.5860671,55.6826427
Restaurants,Hereford Steak,12.5865208,55.6827296
Restaurants,Royal Garden,12.5856999,55.6841125
Restaurants,El Viejo Mexico,12.5876301,55.6844872
Restaurants,n/a,12.6522667,55.6407715
Restaurants,Bindia,12.5761933,55.6986522
Restaurants,Sliders,12.5621297,55.6871479
Restaurants,Vestauranten,12.5646074,55.6695947
Restaurants,Hebron,12.5607845,55.6726211
Restaurants,Godt,12.5827205,55.6822476
Restaurants,Chili's,12.5885828,55.6345603
Restaurants,Ny Zi Yang,12.5193213,55.7514077
Restaurants,Aristo,12.5791679,55.6692418
Restaurants,Temporada Tapasbodega,12.5541773,55.6844488
Restaurants,Tribeca NV,12.5343603,55.7062497
Restaurants,Ricemarket,12.5744665,55.6828339
Restaurants,Kreta,12.5476150,55.6934573
Restaurants,Restaurant Klubben,12.5457687,55.6711195
Restaurants,Bjælkehuset,12.5253346,55.6670575
Restaurants,Hjem Sushi,12.5192664,55.6619369
Restaurants,SAS klubben,12.6384621,55.6333187
Restaurants,La Sirena,12.5711537,55.7535076
Restaurants,Romarin,12.5736203,55.6962411
Restaurants,Nimb Brasserie,12.5666399,55.6735634
Restaurants,Hard Rock Cafe,12.5690951,55.6766219
Restaurants,Famo 51,12.5503465,55.6742769
Restaurants,Famo,12.5506713,55.6723741
Restaurants,Kareten,12.5994220,55.6647417
Restaurants,La Buca degli Artisti,12.5117591,55.6932938
Restaurants,Spiseloppen,12.5972675,55.6739921
Restaurants,Morgenstedet,12.6031876,55.6737546
Restaurants,Thai Lanna,12.5767233,55.7390862
Restaurants,Iki Sushi,12.5827876,55.7021553
Restaurants,Kiin Kiin,12.5573009,55.6918479
Restaurants,La Neta,12.5530946,55.6692157
Restaurants,Je t’aime,12.5576571,55.6653161
Restaurants,Mae Pen,12.5458449,55.6969787
Restaurants,Scarpetta,12.5522738,55.6854535
Restaurants,Ravelinen,12.5957099,55.6703637
Restaurants,Letz Sushi Christianshavn,12.5919520,55.6735371
Restaurants,Asador,12.5900587,55.6723928
Restaurants,Cofoco,12.5583805,55.6718039
Restaurants,Les trois cochons,12.5500290,55.6737032
Restaurants,Vespa,12.5890942,55.6857251
Restaurants,Tony's,12.5917974,55.6780986
Restaurants,Madklubben Bistro de luxe,12.5877522,55.6841610
Restaurants,MASH Steakhouse Bredgade,12.5883393,55.6817859
Restaurants,Taormina,12.5811113,55.6985159
Restaurants,Ponte Vecchio,12.5754894,55.6656284
Restaurants,Hatoba,12.5792029,55.6684525
Restaurants,Sticks 'n' sushi,12.5755799,55.6905436
Restaurants,Restaurant Shezan,12.5585764,55.6709081
Restaurants,Domhusets Smørrebrød,12.5720495,55.6767843
Restaurants,Harbour Grill,12.5880250,55.6808060
Restaurants,Nyhavn 17,12.5891305,55.6805239
Restaurants,Told & snaps,12.5917501,55.6799914
Restaurants,La Sirène,12.5918566,55.6798100
Restaurants,Café Petersborg,12.5929855,55.6873553
Restaurants,Bistro Boheme,12.5912553,55.6873169
Restaurants,Kokkeriet,12.5850836,55.6875403
Restaurants,A Hereford Beefstouw,12.5661037,55.6748243
Restaurants,Restaurant Grønnegade,12.5832999,55.6816089
Restaurants,Pastis,12.5821790,55.6825061
Restaurants,Sole D Italia,12.5764619,55.6799188
Restaurants,Le Pavé,12.5754643,55.6797205
Restaurants,Giin Khao,12.5982718,55.6663991
Restaurants,Restaurant Viva,12.5803577,55.6703413
Restaurants,Susu Sushi,12.5562250,55.6911220
Restaurants,Letz Sushi,12.5597090,55.6904070
Restaurants,Restaurant Long Feng,12.5920754,55.6718729
Restaurants,Christianshavns Færgecafé,12.5924697,55.6754822
Restaurants,Mother,12.5576615,55.6685053
Restaurants,Cafe Lindevang,12.5127320,55.6792148
Restaurants,Kate`s Joint,12.5587270,55.6869993
Restaurants,Address,12.5864534,55.7259303
Restaurants,Kirin Sushi,12.4728798,55.6579458
Restaurants,Restaurant Lynetten,12.6185022,55.6891576
Restaurants,Oysters & Grill,12.5516050,55.6928738
Restaurants,La Rocca,12.5661151,55.6847357
Restaurants,Höst,12.5661022,55.6832824
Restaurants,Yuan Hong,12.5738763,55.7131196
Restaurants,Spuntino,12.5521715,55.6727576
Restaurants,Restaurant Maven,12.5815308,55.6785780
Restaurants,Magasasa,12.5630101,55.6723586
Restaurants,La Petanque,12.5679960,55.6834780
Restaurants,Søpromenaden,12.5782790,55.6977350
Restaurants,Aamanns Etablissement,12.5750967,55.6899665
Restaurants,Under Uret,12.5750925,55.6896143
Restaurants,Stue 11,12.5730861,55.6886663
Restaurants,Phønix,12.5736627,55.6823983
Restaurants,Sporvejen,12.5756760,55.6794530
Restaurants,Jensens Mad,12.6232304,55.6288970
Restaurants,Nakorn Thai,12.5891791,55.6862276
Restaurants,Restaurant M,12.5871782,55.6834973
Restaurants,Rebel,12.5869911,55.6832778
Restaurants,The Red Box,12.5867130,55.6829652
Restaurants,Trattoria Fiat,12.5858844,55.6813679
Restaurants,Lumskebugten,12.5980095,55.6883845
Restaurants,Den Kinesiske Mur,12.6149633,55.6455082
Restaurants,China Vietnam House,12.4887589,55.6319490
Restaurants,Absolut Sushi,12.4890164,55.6321246
Restaurants,Barshu,12.5967108,55.6679838
Restaurants,Cafe Gl. Torv,12.5714461,55.6780117
Restaurants,Nyhavns Hereford House,12.5907903,55.6800695
Restaurants,Skindbuksen,12.5844793,55.6797421
Restaurants,Tivoli Hallen,12.5730884,55.6746192
Restaurants,Restaurant Puk,12.5739423,55.6761458
Restaurants,Galathea Kroen,12.5745289,55.6766459
Restaurants,Sakura,12.5801549,55.6821031
Restaurants,Det Lille Apotek,12.5745687,55.6803250
Restaurants,Scurry Hub,12.5725665,55.6815692
Restaurants,San Giorgio's,12.5739764,55.6835622
Restaurants,Brdr. Price,12.5743876,55.6839789
Restaurants,Schønnemann,12.5760230,55.6828150
Restaurants,El Meson,12.5756960,55.6823570
Restaurants,Nyhavns Færgekro,12.5883495,55.6807141
Restaurants,Heering,12.5889850,55.6805540
Restaurants,Gallionen,12.5896193,55.6803658
Restaurants,Cap Horn,12.5895232,55.6804068
Restaurants,Venezia,12.5901560,55.6802483
Restaurants,Nyhavn 37,12.5905460,55.6801370
Restaurants,Restaurant Havfruen,12.5906780,55.6801110
Restaurants,Ved Kajen,12.5909221,55.6800414
Restaurants,Sahil,12.5893870,55.6769110
Restaurants,Fuego,12.5890620,55.6780630
Restaurants,Gilleleje,12.5895616,55.6797730
Restaurants,Tango & Vinos,12.5897144,55.6791271
Restaurants,Mêlée,12.5426451,55.6757981
Restaurants,Geranium,12.5720401,55.7037103
Restaurants,Zahida,12.5697732,55.6845789
Restaurants,Ristorante Garda,12.4879424,55.6684876
Restaurants,Kung Fu II Izakaya Bar,12.5625650,55.6889266
Restaurants,Hos Fischer,12.5807559,55.7017253
Restaurants,Fuji Sushi,12.5314567,55.6709733
Restaurants,Hansens Gamle Familiehave,12.5313911,55.6726005
Restaurants,Krøgers Familiehave,12.5306595,55.6711876
Restaurants,M.G. Petersens Familiehave,12.5307480,55.6714583
Restaurants,Grød,12.5428999,55.6936028
Restaurants,Bindia Elmegade,12.5582548,55.6895910
Restaurants,Nha Trang,12.5467207,55.6874043
Restaurants,Kaleidoskop,12.5019986,55.6787358
Restaurants,Rasoi,12.5822757,55.6350236
Restaurants,Sushi One,12.5858523,55.7031203
Restaurants,Ranee's,12.5572861,55.6867180
Restaurants,Pluto,12.5852555,55.6834694
Restaurants,Måltid,12.5314736,55.7159674
Restaurants,Tandoori Masala,12.5588080,55.6884560
Restaurants,Saigon,12.5024974,55.6520176
Restaurants,Scarpetta - Islands Brygge,12.5667896,55.6572827
Restaurants,Dag H.,12.5806623,55.6958392
Restaurants,Mielcke & Hurtigkarl,12.5309092,55.6747014
